material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
mp-23043,Rb2Pb4Br10,3.0406000000000004,0.0,3.1761,0.4542005156905398,4.0,0.8660254037844386,1.0,2.520964801140803,p,Pb,0.167226;0.667226;0.834453,0.17874874021146994,2.583160769289068,p,Br,0.97461;0.784932;0.5,0.09471086322328233
mp-23082,K4Cr4Cl4O12,2.7934,0.0,2.8301,0.7071067811865476,1.0,0.5,1.0,2.477874353789442,d,Cr,0.121668;0.873695;0.722089,0.17494689115124612,2.8768480549226845,p,O,0.499442;0.795845;0.29045,0.06333179173037178
mp-23176,Sb2Cl10,1.8399,1.0,1.8399,0.0,1.0,0.0,1.0,2.562493420863591,s,Sb,0.666667;0.333333;0.75,0.14930709063555136,2.113191400232166,p,Cl,0.666667;0.333333;0.46821,0.18598178562340317
mp-23185,Xe2F8,2.8624,0.0,2.8710999999999998,0.0,1.0,0.7555114316148225,2.0,2.078009493379802,p,Xe,0.5;0.0;0.5,0.2799523124296009,2.2358579048857536,p,Xe,0.0;0.0;0.0,0.18075544592598203
mp-23210,Mg1Cl2,,,,,,,,1.5489611567364765,s,Mg,0.0;0.0;0.0,0.35957611860905847,0.733579982479963,p,Cl,0.263704;0.263704;0.263704,0.4965832154470908
mp-23214,Ca2Cl4,5.3978,1.0,5.3978,0.0,1.0,0.0,1.0,1.0071452408186987,d,Ca,0.0;0.0;0.0,0.474829088034308,1.4548460257383429,p,Cl,0.0;0.71791;0.675124,0.24781639239896094
mp-23216,Sn4Br16,2.7107,0.0,2.7401,0.5,1.0,0.0,1.0,3.1537394241312424,s,Sn,0.922535;0.749849;0.86726,0.08678062837727055,2.83705274398549,p,Br,0.424289;0.801748;0.53972,0.06404215786993311
mp-23228,P4Cl20,1.7945,1.0,1.7945,0.0,1.0,0.0,1.0,3.2446034145080382,s,P,0.0;0.5;0.620971,0.10167088374204708,2.5150406493378545,p,Cl,0.911758;0.704147;0.61783,0.08531246100376821
mp-23281,Sb2I6,2.1473000000000004,0.0,2.1999000000000004,0.8825195083818057,6.0,0.8660254037844386,1.0,2.224746241997016,p,Sb,0.832067;0.832067;0.832067,0.25418874104325273,2.06602912269946,p,I,0.064446;0.775087;0.424564,0.14859666324445103
mp-23299,Rb1Cl1,4.7794,0.0,4.8762,0.7071067811865476,3.0,0.0,1.0,1.2163361616132742,s,Rb,0.0;0.0;0.0,0.4269743257272832,0.10896214224150909,p,Cl,0.5;0.5;0.5,0.9809453273691517
mp-23331,Si6Bi8O24,3.8853999999999997,0.0,3.9697,0.8660254037844386,1.0,0.4663213726008907,6.0,3.6845726777663756,p,Bi,0.331843;0.5;0.0,0.07662386174640366,3.559647189760423,p,O,0.848529;0.920427;0.690078,0.03937425484057121
mp-23333,Hg12Cl16O4,,,,,,,,4.014578928331133,s,Hg,0.680893;0.982411;0.769413,0.03807786252658641,3.4538937832055265,p,Cl,0.070463;0.570463;0.929537,0.058523651013302945
mp-23350,Rb2Pt1Cl6,1.9459,1.0,1.9459,0.7071067811865476,3.0,0.7071067811865476,3.0,1.6570963241322607,d,Pt,0.0;0.0;0.0,0.5251184517371493,1.8999927895466866,d,Pt,0.0;0.0;0.0,0.3035762857911206
mp-2340,Na6O6,1.7714,0.0,2.1892000000000005,0.0,1.0,0.5,1.0,2.421696610269839,p,O,0.666667;0.333333;0.672414,0.16423100578156685,1.867364835347971,p,O,0.666667;0.333333;0.672414,0.1763795928415131
mp-23406,Cs2Pt1Cl6,2.1146,1.0,2.1146,0.7071067811865476,3.0,0.7071067811865476,3.0,1.6588452768749158,d,Pt,0.0;0.0;0.0,0.519391062862426,1.9380605001963118,d,Pt,0.0;0.0;0.0,0.277521379136565
mp-23418,Hg6S4Cl4,1.9398,0.0,1.9402,0.061858964836249086,6.0,0.0,1.0,3.2083192402723952,p,S,0.0;0.524148;0.5,0.07874239681845277,2.613465547163524,p,Cl,0.0;0.010948;0.5,0.1485273156731915
mp-23425,Cs2Pb1Cl6,1.4541,1.0,1.4541,0.0,1.0,0.0,1.0,1.9241605509720436,s,Pb,0.0;0.0;0.0,0.3276452362939695,1.872070913022526,p,Cl,0.237277;0.237277;0.762723,0.1641228189726808
mp-23465,Cs2Te1Cl6,2.7831,0.0,2.9193,0.9354143466934853,6.0,0.8660254037844386,4.0,1.7143508657649829,p,Te,0.0;0.0;0.0,0.5240362308726683,1.9732911691108348,s,Te,0.0;0.0;0.0,0.1771070616373354
mp-23475,Rb2Pb1Cl6,1.2605,1.0,1.2605,0.0,1.0,0.0,1.0,1.935925073179204,s,Pb,0.0;0.0;0.0,0.3323615439366042,1.8574421993853947,p,Cl,0.244229;0.244229;0.755771,0.1645802100370756
mp-23492,Si1Bi12O20,2.3594,0.0,2.6605,0.06661734141734268,6.0,0.7994080623670959,6.0,3.855707453604124,p,Bi,0.667385;0.161472;0.858935,0.04704537322764485,3.518250466812927,p,O,0.0;0.0;0.18823,0.0788565764488691
mp-23536,Sb1I3Cl8,1.2101,0.0,1.2299,0.5,1.0,0.23570226510956102,2.0,2.1389324901295055,s,Sb,0.0;0.5;0.5,0.29165139092455,1.7801828287393429,p,I,0.0;0.0;0.0,0.36685535220292814
mp-23562,K2I2O8,2.3491999999999997,0.0,2.3710999999999998,0.1875,4.0,0.0,1.0,2.6157567375585185,p,O,0.949259;0.858248;0.651806,0.09307322374910315,2.1512458552032534,p,O,0.206442;0.297453;0.348194,0.12328502853765733
mp-23657,Na6S2Cl1O8F1,4.7741999999999996,0.0,4.7835,0.7071067811865476,3.0,0.0,1.0,3.2103828233922274,s,Cl,0.5;0.5;0.5,0.10794072414043106,2.160470482520025,p,O,0.165352;0.165352;0.165352,0.1236406319112014
mp-23675,H8Br2N2,4.3119,0.0,4.3478,0.397747564417433,4.0,0.0,1.0,2.6028747023731347,s,N,0.0;0.0;0.0,0.14941149462803477,1.029613171092964,p,Br,0.5;0.0;0.602539,0.46522201693753606
mp-23703,Li1H1,2.9737,1.0,2.9737,0.7071067811865476,3.0,0.7071067811865476,3.0,0.46985021113255204,p,Li,0.0;0.0;0.0,0.8722006409596712,0.5616224406298229,s,H,0.5;0.5;0.5,0.8222171644981774
mp-23792,Na2Ca4Si6H2O18,4.848599999999999,0.0,4.8792,0.5,1.0,0.0,1.0,3.9367962507308416,s,Na,0.745495;0.659792;0.44871,0.041723519735701174,2.7855878601206028,p,O,0.213315;0.871589;0.347959,0.13322650483701412
mp-23891,Na2H2O2,2.8144,1.0,2.8144,0.0,1.0,0.0,1.0,2.12260445500629,p,O,0.864632;0.135368;0.75,0.18776019169957114,0.8666217591476686,p,O,0.135368;0.864632;0.25,0.48406335479991275
mp-23940,Na2H2O2,2.8373,1.0,2.8373,0.0,1.0,0.0,1.0,2.127155127792942,p,O,0.25;0.832445;0.769651,0.1884875629333029,0.8761590025675874,p,O,0.25;0.832445;0.769651,0.48304500045865545
mp-24430,Cd8Co8H144N48Cl40,,,,,,,,,,,,,,,,,
mp-24431,Si8H8O12,6.372199999999999,0.0,6.391,0.8660254037844386,1.0,0.0,1.0,3.8476723206113785,p,O,0.768841;0.698682;0.456758,0.03230689795063079,2.507076360600852,p,O,0.253096;0.808384;0.435329,0.0850638687390378
mp-24438,K4Mg2H24S4O28,,,,,,,,4.302628266620726,s,O,0.674781;0.050428;0.886979,0.025105907924879486,3.0485603452669223,p,O,0.733195;0.421919;0.905714,0.07091293625055677
mp-2472,Sr1O1,3.276,0.0,3.3865,0.0,1.0,0.7071067811865476,3.0,0.27718211810870635,d,Sr,0.5;0.5;0.5,0.9325708866452419,0.38060988516226313,p,O,0.0;0.0;0.0,0.9067382007085297
