Compound,Perovskite,Cubic,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
YbGaO3,1,-1,1.162,0.62,39,74,1.954,1.73,0.861,0.45899999999999996,0.902
YbMnO3,1,-1,1.162,0.645,39,52,1.954,1.732,0.861,0.478,0.89
YbNiO3,1,-1,1.162,0.6,39,61,1.954,1.75,0.861,0.444,0.9109999999999999
YbTiO3,1,-1,1.162,0.67,39,43,1.954,1.791,0.861,0.496,0.879
YbVO3,1,-1,1.162,0.64,39,46,1.954,1.749,0.861,0.474,0.893
YCoO3,1,-1,1.196,0.61,12,58,2.0140000000000002,1.6369999999999998,0.8859999999999999,0.452,0.919
YCrO3,1,-1,1.196,0.615,12,49,2.0140000000000002,1.7080000000000002,0.8859999999999999,0.456,0.9159999999999999
YFeO3,1,-1,1.196,0.645,12,55,2.0140000000000002,1.751,0.8859999999999999,0.478,0.902
YGaO3,1,-1,1.196,0.62,12,74,2.0140000000000002,1.73,0.8859999999999999,0.45899999999999996,0.914
YMnO3,1,-1,1.196,0.645,12,52,2.0140000000000002,1.732,0.8859999999999999,0.478,0.902
YNiO3,1,-1,1.196,0.6,12,61,2.0140000000000002,1.75,0.8859999999999999,0.444,0.9229999999999999
YScO3,1,-1,1.196,0.745,12,11,2.0140000000000002,1.849,0.8859999999999999,0.552,0.8590000000000001
YTiO3,1,-1,1.196,0.67,12,43,2.0140000000000002,1.791,0.8859999999999999,0.496,0.8909999999999999
YVO3,1,-1,1.196,0.64,12,46,2.0140000000000002,1.749,0.8859999999999999,0.474,0.905
