Compound ML DOM0 DOM100 H OQMDdistance SG
ZnHfO3 NP D D -2.28 684 221
ZnIrO3 NP D D -0.54 762 221
ZnMnO3 NP D D -1.17 539 221
ZnMoO3 NP D D -1.77 196 148
ZnNbO3 NP D D -2.17 152 148
ZnNiO3 NP D D -0.48 673 221
ZnNpO3 NP D D -2.28 601 221
ZnPaO3 NP D P -2.5 21 167
ZnPbO3 NP D NP -1.28 48 148
ZnPuO3 NP D D -2.15 469 221
ZnRuO3 NP D D -0.77 651 221
ZnSO3 NP - - - - -
ZnTbO3 NP D D -2.31 129 62
ZnThO3 NP D D -2.59 608 221
ZnUO3 NP D D -2.34 609 221
ZnVO3 NP D D -1.65 515 221
ZnZrO3 NP D D -2.08 756 221
AlCoO3 NP D D -1.66 598 221
AlCrO3 NP D D -2.11 768 221
AlCuO3 NP D D -1.4 557 221
AlGaO3 NP D D -1.81 873 221
AlInO3 NP D NP -2.49 61 148
AlMnO3 NP D D -2.54 103 148
AlNiO3 NP D D -1.28 849 221
AlRhO3 NP D D -1.32 779 221
AlRuO3 NP D D -1.34 865 221
AlTiO3 NP D D -2.5 694 221
AlVO3 NP D NP -2.93 20 148
BiBO3 NP NP NP -2.12 -9 14
BiDyO3 NP D D -2 658 221
CeBO3 NP NP NP -3.27 -108 62
ErCuO3 NP D P -2.3 52 62
FeAlO3 NP D NP -2.45 6 33
Fe(III)Co(III)O3 NP D D -0.85 610 221
Fe(III)Cr(III)O3 NP D D -1.21 854 221
FeCuO3 NP D D -0.65 508 221
FeGaO3 NP NP NP -1.88 -2 33
FeInO3 NP D NP -1.74 6 194
Fe(III)Ni(III)O3 NP D D -0.52 815 221
FeRhO3 NP D D -0.46 837 221
Fe(III)Ru(III)O3 NP D D -0.43 967 221
FeScO3 NP D D -2.03 694 221
FeTmO3 NP NP NP -2.82 -32 185
Fe(III)V(III)O3 NP D D -1.6 548 221
GaAlO3 NP D D -1.81 873 221
GaBO3 NP D D -0.96 1400 221
GaCoO3 NP D D -0.87 804 221
GaCrO3 NP D D -1.39 897 221
GaCuO3 NP D D -0.62 748 221
GaMnO3 NP D D -1.41 654 221
GaNiO3 NP D D -0.57 994 221
GaRhO3 NP D D -0.65 867 221
GaRuO3 NP D D -0.92 697 221
GaScO3 NP D D -2.28 672 221
GaTiO3 NP D D -2.1 546 221
GaVO3 NP D D -1.72 646 221
GaYO3 NP NP NP -2.97 -4 185
HoCuO3 NP D P -2.29 51 62
InAlO3 NP D NP -2.49 61 148
InCoO3 NP D D -0.99 563 221
InCuO3 NP D D -0.72 520 221
InDyO3 NP D D -2.15 701 221
InErO3 NP D D -2.1 775 221
InHoO3 NP D D -2.12 736 221
InLuO3 NP D D -2.01 893 221
InNiO3 NP D D -0.85 564 221
InRuO3 NP D D -1.3 193 62
InScO3 NP D NP -2.78 43 148
InTiO3 NP D D -2.43 129 148
InTmO3 NP D D -2.07 823 221
InVO3 NP D D -2.13 109 167
InYbO3 NP D D -2.19 136 62
InYO3 NP D NP -2.82 3 36
LuCuO3 NP D P -2.31 18 62
NdBO3 NP NP NP -3.29 4 62
PrBO3 NP NP NP -3.29 -98 62
PuBO3 NP D D -2.23 895 221
PuCoO3 NP D D -1.54 950 221
PuCuO3 NP D D -1.76 523 221
PuDyO3 NP D D -2.92 822 221
PuErO3 NP D D -3.01 753 221
PuFeO3 NP P P -2.7 -62 62
PuHoO3 NP D D -2.97 786 221
PuInO3 NP D D -2.14 601 221
PuLaO3 NP D D -2.95 719 221
PuLuO3 NP D D -3.14 656 221
PuNiO3 NP P P -2.47 -20 62
PuRhO3 NP D D -1.23 1051 221
PuRuO3 NP D D -1.89 501 221
PuScO3 NP P P -3.74 -24 62
PuTiO3 NP NP NP -3.44 -60 11
PuTmO3 NP D D -3.07 715 221
PuYO3 NP D D -2.9 825 221
ScBO3 NP NP NP -3.27 -58 167
ScCoO3 NP D D -1.94 591 221
ScCuO3 NP D D -1.67 566 221
ScErO3 NP D D -3.27 583 221
ScFeO3 NP D D -2.03 694 221
ScGaO3 NP D D -2.28 672 221
ScHoO3 NP D NP -3.81 37 62
ScInO3 NP D NP -2.78 43 148
ScLuO3 NP D D -3.19 696 221
ScMnO3 NP D NP -2.91 5 185
ScNiO3 NP D D -1.83 573 221
ScRhO3 NP D D -1.47 905 221
ScRuO3 NP D D -1.56 911 221
ScTiO3 NP D D -2.89 570 221
ScTmO3 NP D D -3.24 629 221
ScVO3 NP D D -2.51 713 221
TbBO3 NP D D -2.39 759 221
TlAlO3 NP D P -2.03 73 62
TlBO3 NP D D -0.68 1101 221
TlCuO3 NP D P -0.71 80 62
TlDyO3 NP D D -1.79 602 221
TlErO3 NP D D -1.82 601 221
TlHoO3 NP D NP -2.35 59 148
TlInO3 NP D NP -1.36 32 148
TlLuO3 NP D NP -2.39 56 148
TlTmO3 NP D NP -2.38 57 148
TlYbO3 NP D D -1.73 141 148
TlYO3 NP D NP -2.31 58 148
TmCuO3 NP D P -2.31 4 62
YbBO3 NP NP NP -2.75 -35 167
YbCuO3 NP D D -1.75 118 62
YCuO3 NP D P -2.26 48 62
DyHoO3 NP D D -2.96 906 221
DyLaO3 NP D D -3.25 529 221
DyYO3 NP D D -2.91 918 221
ErDyO3 NP D D -3 869 221
ErHoO3 NP D D -2.98 910 221
ErTmO3 NP D D -3.01 906 221
ErYO3 NP D D -3.01 842 221
EuDyO3 NP D D -3.17 110 62
EuHoO3 NP D D -3.19 104 62
EuLaO3 NP D D -3.1 119 148
EuPrO3 NP D D -2.62 530 221
EuYO3 NP D D -3.15 109 62
GdDyO3 NP D D -2.96 858 221
GdHoO3 NP D D -3.01 818 221
GdLaO3 NP D D -3.15 604 221
GdYO3 NP D D -2.94 860 221
HoDyO3 NP D D -2.96 906 221
HoErO3 NP D D -2.98 910 221
HoTmO3 NP D D -3.04 865 221
HoYO3 NP D D -2.96 878 221
LuDyO3 NP D D -3.15 758 221
LuErO3 NP D D -3.09 837 221
LuHoO3 NP D D -3.12 797 221
LuLaO3 NP D NP -3.83 11 62
LuTmO3 NP D D -3.06 886 221
LuYO3 NP D D -3.15 734 221
NdHoO3 NP D D -3.14 610 221
NdLaO3 NP D D -2.87 796 221
NdYO3 NP D D -3.07 649 221
PrLaO3 NP D D -2.79 852 221
PrYO3 NP D D -3.1 593 221
SmDyO3 NP D D -3.03 749 221
SmHoO3 NP D D -3.08 711 221
SmLaO3 NP D D -3.01 700 221
TbDyO3 NP D D -2.8 903 221
TbHoO3 NP D D -2.85 863 221
TbLaO3 NP D D -3.07 565 221
TbYO3 NP D D -2.78 905 221
TmDyO3 NP D D -3.07 825 221
TmErO3 NP D D -3.01 906 221
TmHoO3 NP D D -3.04 865 221
YbDyO3 NP D D -2.76 569 221
YbErO3 NP D D -2.82 529 221
YbHoO3 NP D D -2.79 548 221
YbLaO3 NP D D -3.11 150 33
YbTmO3 NP D D -2.87 503 221
YDyO3 NP D D -2.91 918 221
YErO3 NP D D -3.01 842 221
YHoO3 NP D D -2.96 878 221
YLaO3 NP D NP -3.72 39 62
YTmO3 NP D D -3.07 800 221
EuTeO3 P D∗ D∗ -2.2 146 62
HgCeO3 P D D∗ -1.16 781 221
BiYbO3 P D∗ D∗ -1.42 799 221
KAsO3 NP D∗ D∗ -1.35 372 167
RbAsO3 NP D∗ D∗ -1.37 362 99
CoCeO3 NP D∗ D∗ -2.28 141 62
CoPrO3 NP D∗ D∗ -2.32 96 167
CoTbO3 NP D D∗ -2.29 117 167
CoThO3 NP D D∗ -1.85 1188 221
CuCeO3 NP D∗ D∗ -1.95 204 167
CuPbO3 NP D D∗ -0.83 164 167
CuPrO3 NP D∗ D∗ -1.94 234 167
CuTbO3 NP D∗ D∗ -1.92 224 167
FeNpO3 NP D D∗ -1.81 1025 221
FePrO3 NP D∗ D∗ -2.49 204 62
FePuO3 NP D∗ D∗ -2.6 102 167
FeCeO3 NP D∗ D∗ -2.46 206 62
FeTbO3 NP D∗ D∗ -1.19 1455 221
MgPuO3 NP D∗ D∗ -3.09 61 62
MnCeO3 NP D∗ D∗ -2.53 319 62
MnPbO3 NP D D∗ -1.48 150 62
MnPrO3 NP D∗ D∗ -2.55 315 62
MnPuO3 NP D∗ D∗ -2.8 86 62
MnTbO3 NP D∗ D∗ -2.55 272 62
NiCeO3 NP D∗ D∗ -2.01 283 62
NiPrO3 NP D∗ D∗ -2.04 275 62
NiPuO3 NP D∗ D∗ -2.38 95 62
NiTbO3 NP D D∗ -1.98 294 62
NiThO3 NP - - - - -
ZnCeO3 NP D D∗ -2.23 192 62
ZnPrO3 NP D D∗ -2.25 193 62
AlDyO3 NP D∗ D∗ -3.34 244 167
AlErO3 NP D∗ D∗ -3.36 242 62
AlHoO3 NP D∗ D∗ -3.36 238 167
AlLaO3 NP D∗ D∗ -3.33 226 62
AlLuO3 NP D∗ D∗ -3.4 225 167
AlScO3 NP D D∗ -1.87 1669 221
AlTmO3 NP D∗ D∗ -3.38 237 167
AlYbO3 NP D∗ D∗ -2.92 124 62
AlYO3 NP D∗ D∗ -3.32 236 167
FeDyO3 NP D∗ D∗ -1.33 1448 221
FeErO3 NP D∗ D∗ -1.33 1464 221
FeHoO3 NP D∗ D∗ -1.3 1490 221
FeLaO3 NP D∗ D∗ -2.58 178 62
FeLuO3 NP - - - - -
FeYbO3 NP D∗ D∗ -2.13 252 62
FeYO3 NP - - - - -
GaDyO3 NP D D∗ -1.62 1365 221
GaErO3 NP D D∗ -1.67 1341 221
GaHoO3 NP D D∗ -1.65 1349 221
GaLaO3 NP D∗ D∗ -2.81 128 167
GaLuO3 NP D D∗ -1.74 1293 221
GaTmO3 NP D D∗ -1.7 1314 221
GaYbO3 NP D D∗ -2.36 96 62
InLaO3 NP D D∗ -1.64 1135 221
PuYbO3 NP D∗ D∗ -2.39 1079 221
ScDyO3 NP D D∗ -2.45 1378 221
ScLaO3 NP D∗ D∗ -3.56 232 62
ScYbO3 NP D D∗ -3.13 177 62
ScYO3 NP D D∗ -2.43 1381 221
ErLaO3 NP D D∗ -2.36 1440 221
HoLaO3 NP D D∗ -2.4 1397 221
TmLaO3 NP D D∗ -2.33 1494 221
