ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,4.231,-6.719,138.198,68.8,607.412,144.049,2.501,136.215,2.479,2.749,5.986e-05,Zn16Si16O48,mp-619034
Insulator,2.476,-5.04,54.101,16.425,232.835,142.477,3.004,137.11,2.92,2.516,5.046e-05,Bi24Cl12O28F4,mp-554249
Insulator,2.688,-7.084,95.081,47.042,535.365,145.256,2.575,137.388,2.507,2.674,5.169e-05,Ba8Cu4P24O72,mp-558012
Insulator,3.642,-5.076,30.804,13.623,442.687,19.069,2.839,19.374,2.7,4.121,6.263e-05,Mo1F6,mp-558836
Insulator,3.908,-7.088,97.638,70.67,478.446,107.267,2.658,104.695,2.593,2.59,5.156e-05,Na8W8O28,mp-21634
Insulator,0.564,-3.392,41.464,10.553,157.516,12.491,3.148,11.952,2.971,2.504,6.045e-05,In2Se2,mp-22691
Insulator,1.643,-7.279,71.825,43.785,403.079,120.114,2.702,114.316,2.688,2.639,5.151e-05,Cs4Mo10O32,mp-1200365
Insulator,1.917,-7.328,79.101,44.572,421.744,140.017,2.673,132.422,2.643,2.69,5.178e-05,Cs4Mo14O44,mp-1200748
Insulator,1.577,-5.65,19.883,24.006,662.333,140.947,2.4,128.742,2.323,2.424,6.036e-05,Na8Cu4H24C8O36,mp-24228
Insulator,2.188,-5.758,23.01,9.432,163.037,27.591,3.083,28.136,2.955,3.255,4.956e-05,Pa2Br6O2,mp-540540
Insulator,4.973,-7.7,98.633,60.03,446.251,109.303,2.721,109.331,2.666,2.913,5.949e-05,Y14O12F18,mp-27129
Insulator,4.5,-7.226,116.32,85.354,717.875,52.921,2.267,52.466,2.243,2.874,6.047e-05,Ca6B4O12,mp-3575
Insulator,3.393,-7.607,115.118,84.203,528.717,55.522,2.625,50.871,2.542,2.496,5.155e-05,Li4W4O14,mp-27130
Insulator,1.282,-7.122,101.14,62.599,593.488,39.202,2.567,38.355,2.444,2.79,6.004e-05,Na2V4O10,mp-505821
Insulator,1.798,-1.252,10.67,4.676,93.86,24.538,3.329,22.168,3.002,2.876,7.176e-05,Ag4I4,mp-580941
Insulator,2.934,-5.371,34.813,30.313,900.889,64.047,2.07,55.079,2.048,2.65,5.894e-05,H12N4O16,mp-626256
Insulator,2.804,-5.36,25.179,0.78,693.43,65.084,2.34,55.092,2.274,2.627,5.81e-05,H12N4O16,mp-706430
