MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_EG,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg
0.5723999999999996,0.723,0.4732,1.55087,0.441,,,
0.5230999999999995,,,,,,,
1.1772999999999998,1.227,,,1.1909999999999998,,,
3.3214,2.935,,,3.2680000000000002,,,
0.6097999999999999,,,,,0.9246,,
3.1566,,,,2.9610000000000003,,,
1.0782000000000005,1.45,,,1.204,2.2333,1.0565,2.29
2.6294,,,,2.842,,,
3.4725000000000006,,,,2.841,,,
3.0002,,,,2.74,,,
0.9081,,,1.45018,,0.9619,0.4391,
2.9588,2.785,,,2.759,,,
2.987,2.8489999999999998,,,2.8739999999999997,,,
1.4886000000000004,1.44,1.4281,2.8380799999999997,1.355,,,
2.9475,2.189,,,2.5789999999999997,,,
0.5494000000000003,0.654999999999999,,,0.594,,,
1.0501,1.084,,,,2.5564,1.078,3.31
3.2607,3.5389999999999997,3.1341,5.13777,2.719,5.45,3.2449,
1.1111000000000004,0.907,,,0.802,,,
3.5558,3.264,3.424,5.52855,3.346,3.2103,2.8719,
1.9680000000000002,,0.8486,2.05691,1.642,,,
3.1955,3.195,,,2.8739999999999997,,,
1.9222,1.411,,,2.0869999999999997,,,
1.5656999999999996,1.393,,,1.2329999999999999,1.514,0.7182,
3.6169,,,,2.5669999999999997,,,
1.237,1.2409999999999999,,1.01545,1.256,,,
2.08,,,,1.9580000000000002,,,
2.7053000000000003,2.59,,,2.39,3.5811,2.5393,
2.9131,2.5380000000000003,,,2.792,,,
0.4573,0.49900000000000105,2.0165,3.63124,1.824,0.4701,,
1.1538000000000004,1.327,,,1.155,,,
3.0994,,,,2.6460000000000004,,,
2.716,,,,2.778,,,
2.8117,2.283,,,3.162,3.8706,2.8558,
1.6197,1.555,1.3677,2.7566599999999997,1.3019999999999998,2.4073,1.4624,
2.778500000000001,,2.4528,4.21937,3.182,3.3186,2.7427,
3.4487,3.363,,,2.905,4.9578,3.4051,5.77
0.5819999999999999,,,1.26213,,,,
1.5112,,,,1.7630000000000001,2.6210000000000004,1.4436,
0.6209000000000007,0.620000000000001,,,0.7020000000000001,0.5494,,
3.1536,,,,3.213,,,
1.5874,1.128,1.5319,2.978,1.4880000000000002,,,
1.3007,1.584,,,1.921,,,
3.889,,,,3.7030000000000003,4.6002,4.0296,
3.8015,4.021,3.7283,5.93875,3.708,5.4065,3.931,
1.7263000000000002,0.894,0.7816,1.9666,0.8759999999999999,1.1754,0.7679,3.4
1.5092,1.117,1.1052,2.4028099999999997,1.107,1.7275,1.1002,
3.6919,3.687,3.6357,5.8139199999999995,3.4419999999999997,5.29,3.7422,7.0
0.6197999999999997,0.508,,1.41041,,,,0.84
1.7674,1.8780000000000001,,,1.912,3.0531,1.7961,
1.4677999999999995,1.494,0.7442,1.91618,0.997,,,
1.7719,1.794,,,1.9040000000000001,2.0697,1.7688,
0.8203000000000005,,,,,,,0.91
2.9058,3.1519999999999997,,,2.95,4.2485,3.1004,
4.3193,,4.3155,6.730289999999999,3.9960000000000004,,,
1.8269999999999995,,,,2.177,2.5398,1.9079,
3.4455,,,,3.37,,,
3.0247,2.753,,,2.8680000000000003,,,
2.8949,3.0460000000000003,,,2.807,4.6383,3.0414,
1.949,2.011,,,1.8230000000000002,,,
2.4589,1.629,,,2.449,,,
1.8174999999999997,1.5090000000000001,,,1.6469999999999998,,,
2.2914000000000003,2.414,,,1.919,3.1237,2.2397,4.42
3.6743,,3.5087,5.64273,3.4739999999999998,,,
3.132000000000001,,,,3.122,,,
2.6228,,,,3.0239999999999996,,,
1.3520999999999992,1.443,,,1.3419999999999999,,,
2.8128000000000006,2.964,,,2.7489999999999997,,,
2.6958,2.563,2.4978,4.28003,2.472,3.227,2.2812,
2.3470000000000004,,,,2.6210000000000004,,,
3.478800000000001,,,,3.4619999999999997,,,
3.9783,4.227,,,3.395,4.7484,4.1427,
3.5083999999999995,,,,3.403,,,
3.2217,,,,3.062,,,
1.4648999999999996,1.285,1.2194,2.55675,1.07,1.3371,0.9224,
2.7097000000000007,2.6289999999999996,,,3.074,3.2235,2.7282,
1.8242000000000005,2.318,1.7442,3.26418,1.9240000000000002,,,
3.3435,3.435,,,3.465,,,
3.1711000000000005,3.037,,,2.8960000000000004,,,
